id,author,title,description,url,urlToImage,publishedAt,content,sources
0,Igor Bonifacic,Tesla's deliveries increased despite supply shortages and plant closures,"Tesla delivered 310,048 vehicles over the first three months of 2022, the automaker announced
 on Saturday. “This was an exceptionally difficult quarter due to supply chain interruptions and China Zero-Covid policy,” Musk said
 on Twitter shortly after Tesl…",https://www.engadget.com/tesla-q-1-2022-deliveries-214141313.html,https://s.yimg.com/os/creatr-uploaded-images/2022-03/733d9be0-b2cd-11ec-b7f9-382caaedc1ae,2022-04-02T21:41:41Z,"Tesla delivered 310,048 vehicles over the first three months of 2022, the automaker announced
 on Saturday. This was an exceptionally difficult quarter due to supply chain interruptions and China Ze… [+920 chars]",Engadget
1,Steve Dent,Tesla delivers the first vehicles from its German Gigafactory,"Tesla has delivered the first 30 Model Y cars manufactured at its $5.5 billion Grenheide, Germany Gigafactory that officially opened today, Reuters has reported. ""Excited to hand over the first production cars made by Giga Berlin-Brandenburg tomorrow!"" tweete…",https://www.engadget.com/tesla-rolls-out-the-first-vehicles-from-its-german-gigafactory-123554731.html,https://s.yimg.com/os/creatr-uploaded-images/2022-03/1f982120-a9d3-11ec-afbb-a7296a01e872,2022-03-22T12:35:54Z,"Tesla has delivered the first 30 Model Y cars manufactured at its $5.5 billion Grenheide, Germany Gigafactory that officially opened today, Reuters has reported. ""Excited to hand over the first produ… [+1577 chars]",Engadget
2,Mariella Moon,"Tesla's Cybertruck will go on sale in 2023, says Elon Musk","Tesla will finally start selling the Cybertruck next year, Elon Musk has announced at the opening party for the company's Giga Texas factory. During his presentation on stage, Musk showed off the production Cybertruck vehicle, which still looks like the previ…",https://www.engadget.com/tesla-cybertruck-2023-elon-musk-071706850.html,https://s.yimg.com/os/creatr-uploaded-images/2022-04/4f335880-b704-11ec-bffb-e38b6f157738,2022-04-08T07:17:06Z,"Tesla will finally start selling the Cybertruck next year, Elon Musk has announced at the opening party for the company's Giga Texas factory. During his presentation on stage, Musk showed off the pro… [+1768 chars]",Engadget
3,Eshe Nelson,Elon Musk offers to buy Twitter for $54.20 a share.,"“Twitter has extraordinary potential. I will unlock it,” the Tesla chief executive said in a regulatory filing.",https://www.nytimes.com/live/2022/04/14/business/elon-musk-twitter,https://static01.nyt.com/images/2022/04/14/multimedia/14musk-twitter/14musk-twitter-facebookJumbo.jpg,2022-04-14T11:20:41Z,Elon Musk said his offer to buy Twitter for $54.20 a share represented a 54 percent premium over the share price on the day before he began investing in the company in late January.Credit...Pool phot… [+1862 chars],New York Times
4,Steve Dent,Elon Musk now owns a 9.2 percent stake in Twitter,"Tesla and SpaceX CEO Elon Musk now owns 9.2 percent of Twitter after purchasing $2.89 billion in stock, according to a US Securities and Exchange Commission (SEC) filing spotted by CNBC. The purchase follows recent criticism by Musk over the social media site…",https://www.engadget.com/elon-musk-now-owns-92-percent-of-twitter-113623921.html,https://s.yimg.com/os/creatr-uploaded-images/2022-02/d79845b0-8e63-11ec-9bfe-4c0ee6be58a3,2022-04-04T11:36:23Z,"Tesla and SpaceX CEO Elon Musk now owns 9.2 percent of Twitter after purchasing $2.89 billion in stock, according to a US Securities and Exchange Commission (SEC) filing spotted by CNBC. The purchase… [+1422 chars]",Engadget
5,,Watch a Tesla fly through the air before crashing,A video posted by the LAPD shows a Tesla flying over a hill and through the air in Los Angeles. Police are now asking the public for information about the driver.,https://www.cnn.com/videos/media/2022/03/21/rented-tesla-air-stunt-lapd-mxp-hln-vpx.hln,https://cdn.cnn.com/cnnnext/dam/assets/220321112351-tesla-flies-in-stunt-hln-vpx-super-tease.jpg,2022-03-21T16:21:13Z,Morning Express with Robin Meade,CNN
6,Jay Peters,"Block and Blockstream are partnering with Tesla on an off-grid, solar-powered Bitcoin mine in Texas","Block and Blockstream are partnering with Tesla on an open-source, solar-powered Bitcoin mine, the companies announced Friday. Tesla’s 3.8-megawatt Solar PV array and its 12 megawatt-hour Megapack will power the facility, and construction has started on the p…",https://www.theverge.com/2022/4/8/23016553/block-blockstream-tesla-solar-bitcoin-mine-texas,https://cdn.vox-cdn.com/thumbor/OYrvaaOHBuEpdTeRO55nZnZdexs=/0x215:3000x1786/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/8937281/acastro_170726_1777_0007_v2.jpg,2022-04-08T16:02:52Z,"Its set to open later this year
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
Illustration by Alex Castro / The Verge
Block and Blockstream, a … [+1336 chars]",The Verge
7,Kris Holt,Watch Elon Musk's TED talk live for free,"It's a busy time in the world of Elon Musk. On the same day it emerged he made a bid to buy Twitter, he's giving a TED Talk. The organizers of TED are opening up the conference's livestreaming channel to all, so anyone can watch the talk (which is underway) f…",https://www.engadget.com/elon-musk-ted-talk-how-to-watch-172254234.html,https://s.yimg.com/os/creatr-uploaded-images/2022-03/af5c9bf0-ade9-11ec-bfe7-7c9dd3b22206,2022-04-14T17:22:54Z,"It's a busy time in the world of Elon Musk. On the same day it emerged he made a bid to buy Twitter, he's giving a TED Talk. The organizers of TED are opening up the conference's livestreaming channe… [+534 chars]",Engadget
8,Kyle Barr,Honda Hopes You'll Forget About Tesla With $40 Billion EV Investment,"People better be prepared for an all-electric future of car ownership. Though in terms of companies paving the road to get to widespread acceptance, some are planning bigger than others.Read more...",https://gizmodo.com/honda-hopes-youll-forget-about-tesla-with-40-billion-e-1848782606,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/a6fd587ef25f8bab214ad389a5cfc1f4.jpg",2022-04-12T17:10:00Z,"People better be prepared for an all-electric future of car ownership. Though in terms of companies paving the road to get to widespread acceptance, some are planning bigger than others.
Japanese ca… [+3464 chars]",Gizmodo.com
9,Trish Bendix,Late Night Isn’t Thrilled About Elon Musk’s Attempted Twitter Takeover,"“He is super smart, definitely, but he admits that he also loves dumb jokes, so we don’t know how this could turn out,” Trevor Noah said of the Tesla C.E.O.",https://www.nytimes.com/2022/04/15/arts/television/trevor-noah-elon-musk-twitter.html,https://static01.nyt.com/images/2022/04/15/arts/15latenight/15latenight-facebookJumbo.png,2022-04-15T05:31:50Z,"But one of the American companies that has suspended service in Russia is Netflix, which has made subscribers in Russia so mad, theyre suing Netflix. They want 60 million rubles in compensation, whic… [+767 chars]",New York Times
10,Reuters Editorial,Musk 2018 tweets 'false and misleading' -court filing - Reuters,"A federal judge has ruled that Tesla CEO Elon Musk's 2018 tweets about having secured financing to take the company private were false, according to court filings by Tesla investors suing the billionaire over the tweets.",https://www.reuters.com/video/watch/idOV226017042022RP1,https://static.reuters.com/resources/r/?d=20220417&i=OV226017042022RP1&r=OV226017042022RP1&t=2,2022-04-17T19:46:21Z,"Posted 
A federal judge has ruled that Tesla CEO Elon Musk's 2018 tweets about having secured financing to take the company private were false, according to court filings by Tesla investors suing th… [+29 chars]",Reuters
11,Devindra Hardawar,Engadget Podcast: Apple’s confounding Studio Display and the great new iPad Air,"It’s time to talk about all of those other new Apple gadgets. This week, Engadget Deputy Editor Nathan Ingraham joins Devindra to dive into Apple’s Studio Display, a nice looking 5K monitor that’s really only meant for the Mac faithful. Also, they discuss why…",https://www.engadget.com/engadget-podcast-apple-studio-display-ipad-air-123022577.html,https://s.yimg.com/os/creatr-uploaded-images/2020-11/c8e851c0-2b3d-11eb-baea-6c6fe29971fb,2022-03-25T12:30:22Z,"Its time to talk about all of those other new Apple gadgets. This week, Engadget Deputy Editor Nathan Ingraham joins Devindra to dive into Apples Studio Display, a nice looking 5K monitor thats reall… [+1215 chars]",Engadget
12,,Tesla helps surface groundwater for investors - Reuters.com,"Tesla’s <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> Giga Berlin is finally set to crank out Model Ys and 3s, almost a year late <a href=""/business/autos-transportation/teslas-musk-appears-headed-berlin-austin-twitter-user-e…",https://www.reuters.com/breakingviews/tesla-helps-surface-groundwater-investors-2022-03-22/,https://www.reuters.com/resizer/NloEB4KXdDEh_A0HOGxqKdUL0zI=/728x381/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/6UMYFVKK2JNLTP5RNGLSWMFUOA.jpg,2022-03-22T05:52:00Z,"MELBOURNE, March 22 (Reuters Breakingviews) - Teslas (TSLA.O) Giga Berlin is finally set to crank out Model Ys and 3s, almost a year late read more . Chief Executive Elon Musk routinely misses deadli… [+3759 chars]",Reuters
13,Mat Smith,The Morning After: Elon Musk faces lawsuit over his Twitter investment,"Elon Musk, Tesla CEO, SpaceX boss, that guy, has been Twitter’s largest shareholder for mere weeks but has packed in enough drama and turmoil to make it feel like months.He’s now facing legal action over the handling of his latest investment. A Twitter shareh…",https://www.engadget.com/the-morning-after-elon-musk-faces-lawsuit-over-his-twitter-investment-111507827.html,https://s.yimg.com/os/creatr-uploaded-images/2022-02/d79845b0-8e63-11ec-9bfe-4c0ee6be58a3,2022-04-14T11:15:07Z,"Elon Musk, Tesla CEO, SpaceX boss, that guy, has been Twitters largest shareholder for mere weeks but has packed in enough drama and turmoil to make it feel like months.
Hes now facing legal action … [+3037 chars]",Engadget
14,BeauHD,Tesla Officially Opens Texas Gigafactory,"An anonymous reader quotes a report from The Verge: Tesla opened its Austin, Texas-based Gigafactory on Thursday, a crucial step in the company's delayed plans to begin production of its electric Cybertruck. To celebrate the opening, Tesla held an event, bill…",https://news.slashdot.org/story/22/04/08/201239/tesla-officially-opens-texas-gigafactory,https://a.fsdn.com/sd/topics/usa_64.png,2022-04-08T20:40:00Z,"Tesla opened its Austin, Texas-based Gigafactory on Thursday, a crucial step in the company's delayed plans to begin production of its electric Cybertruck. To celebrate the opening, Tesla held an eve… [+2168 chars]",Slashdot.org
